UMAP1,UMAP2,cluster,cell_type
10.0044,6.123496,1,Endothelial
3.617622,-8.784339,3,Microglia
13.681106,-0.65081817,0,Oligodendrocytes
2.8121328,1.7815019,4,Astrocytes
13.991318,-1.539753,0,Neurons
12.657869,-0.7989041,0,Neurons
10.899832,-1.3549353,0,Endothelial
14.661576,-0.48723757,0,Microglia
15.131925,-3.7561233,0,Pericytes
10.839897,3.1218455,1,Neurons
4.154018,-8.79771,3,Microglia
14.890034,-4.171725,0,Neurons
3.3595853,4.856446,7,Microglia
15.182151,-3.1745932,0,Microglia
-1.1232895,-5.5255723,2,Neurons
-1.190732,-4.0280337,2,Neurons
12.237381,-6.602802,0,Astrocytes
3.7016215,-7.315275,3,Microglia
4.9227495,-0.32162452,1,Pericytes
15.861258,-1.6162882,0,Neurons
-0.46430957,-3.8355682,2,Oligodendrocytes
10.542732,0.2121447,1,Oligodendrocytes
11.744278,-5.5016947,0,Astrocytes
16.508734,1.4840347,5,Neurons
9.252158,-2.7898767,0,Neurons
16.641062,1.1124314,5,Neurons
6.726311,4.916038,1,Oligodendrocytes
-0.36509538,-4.104247,2,Neurons
-1.0009702,-3.1125677,2,Oligodendrocytes
-2.4344168,-2.7685237,2,Oligodendrocytes
12.29711,-6.1154747,0,Neurons
5.8071647,-4.540204,3,Microglia
0.16657946,-4.5520983,2,Oligodendrocytes
17.090279,0.54507124,5,Neurons
8.521358,2.1167254,1,Microglia
4.835613,7.116899,6,Oligodendrocytes
8.947637,1.6803931,1,Neurons
12.756324,-2.859994,0,Neurons
11.997284,-2.8206804,0,Neurons
3.3986418,4.753607,7,Microglia
2.799334,-4.1288304,2,OPCs
0.37062868,-6.3804803,2,Endothelial
-1.8585523,-3.75262,2,Neurons
14.550903,-1.173495,0,Microglia
5.086151,-7.6960845,3,Neurons
6.473121,-6.06678,3,Neurons
14.095576,-2.9465737,0,Endothelial
7.0338173,-0.48201326,1,Astrocytes
5.9673676,-6.428533,3,Neurons
6.234413,0.49418393,1,Astrocytes
4.1291146,-9.272631,3,Pericytes
6.016647,-6.402102,3,Neurons
10.642374,-4.840996,0,Neurons
6.096363,-3.9014683,3,Endothelial
7.983153,3.7924871,1,Oligodendrocytes
13.936023,-1.3323088,0,Neurons
15.357307,-1.4253241,0,Neurons
5.262518,-4.3123727,3,Neurons
-0.73461807,-4.5169196,2,Microglia
-1.1533198,-3.9546723,2,Oligodendrocytes
13.971028,-2.5161846,0,Pericytes
11.096078,2.7790504,1,Neurons
7.853774,4.6893325,1,Oligodendrocytes
2.8808296,1.9006329,4,Pericytes
10.528746,-0.17367329,1,Endothelial
7.293311,1.2465284,1,Neurons
10.49432,-0.30862403,1,Microglia
-1.0335013,-4.8062315,2,Oligodendrocytes
4.3517146,-0.7651223,1,Endothelial
4.6339016,-8.1759615,3,Microglia
5.7458596,-6.4835033,3,Microglia
12.409696,-2.962668,0,Neurons
13.347917,5.512627,1,Microglia
11.866622,5.645212,1,Microglia
7.219846,-2.5536315,0,Astrocytes
7.7108293,1.7873732,1,Astrocytes
3.309959,4.5499415,7,Microglia
6.0045075,-4.0769696,3,Microglia
-0.63403267,-4.3558536,2,Astrocytes
9.664684,-0.8093462,0,Pericytes
9.49237,-2.1302705,0,Pericytes
15.26097,-1.619329,0,Astrocytes
6.3659177,-4.5283093,3,Neurons
-0.1074394,-5.172717,2,Microglia
0.7504249,-4.3378563,2,Oligodendrocytes
0.8736846,-5.8827524,2,OPCs
11.834614,-2.8759403,0,Neurons
12.27894,-4.5783625,0,Pericytes
-1.5324593,-1.9490054,2,Microglia
13.466593,-1.8237162,0,Neurons
8.626075,2.4021182,1,Neurons
12.194651,0.22013137,0,Neurons
12.590119,0.67576706,0,Neurons
9.678412,-2.6105707,0,Pericytes
0.30273652,-4.89831,2,Microglia
14.554712,-0.18257798,0,Astrocytes
-0.07918561,-6.013314,2,Oligodendrocytes
5.775246,-4.828406,3,Neurons
0.12436494,-2.8452024,2,Oligodendrocytes
-0.3533253,-1.4513443,2,Microglia
16.452797,0.2634935,5,Microglia
-0.19670558,-6.6136847,2,Microglia
-1.8516295,-2.2388713,2,Oligodendrocytes
12.614083,-3.4205337,0,Neurons
5.863467,-0.95175314,1,OPCs
5.5340652,6.744781,6,Endothelial
7.078137,-0.30935475,1,Endothelial
13.048667,6.8682857,1,Neurons
4.1535025,1.7905076,4,Endothelial
2.9650712,-3.8659286,2,Pericytes
15.243674,-1.3305603,0,Neurons
8.50293,1.6168848,1,OPCs
5.3907394,-4.544215,3,Neurons
5.938347,-4.609437,3,Microglia
8.50277,-1.046627,0,Microglia
-0.078592904,-4.310084,2,Astrocytes
11.035098,-5.3258524,0,Neurons
10.782399,-5.2178955,0,Neurons
12.600029,-6.067621,0,Microglia
6.386703,-6.4000554,3,Microglia
14.188816,3.442329,0,Neurons
5.162832,2.0516777,4,Microglia
3.0510275,1.5088346,4,Astrocytes
11.545125,-1.4500891,0,Endothelial
12.397799,-4.4749866,0,Neurons
5.9234343,-4.436754,3,Microglia
14.5859375,-0.31241727,0,Neurons
14.640615,-2.5908933,0,Neurons
14.793487,1.9573284,0,Neurons
-0.98931897,-4.409516,2,Neurons
10.176393,6.1577144,1,Neurons
-2.649268,-3.8224895,2,Oligodendrocytes
0.9521423,-4.7799344,2,OPCs
11.758435,3.5840862,1,Neurons
-1.0461657,-3.1367574,2,Microglia
6.313414,3.086628,1,Astrocytes
13.708873,-2.5020013,0,Neurons
11.413228,2.6455824,1,Neurons
11.8200035,1.2753866,0,Neurons
0.0058947885,-4.362677,2,Pericytes
2.0519004,-4.3078628,2,Pericytes
15.576688,-1.4886935,0,Microglia
11.44676,6.26589,1,Microglia
5.1912045,6.419465,6,Oligodendrocytes
-0.45679128,-4.4854226,2,Oligodendrocytes
15.756314,-3.0306544,0,Neurons
-0.36596942,-4.4367013,2,Oligodendrocytes
4.127912,-8.626166,3,Neurons
11.044071,5.9023848,1,Neurons
2.922414,2.4463232,4,Oligodendrocytes
7.403483,5.2448955,1,Microglia
2.1854515,2.273288,4,Pericytes
6.0676293,-6.43742,3,Neurons
4.3914895,-7.9076552,3,Microglia
0.04128389,-3.5615323,2,Oligodendrocytes
7.225499,1.3370285,1,Microglia
8.5968,4.291868,1,Pericytes
4.730053,-8.11696,3,Neurons
12.452491,-1.9090493,0,Neurons
16.18522,-2.6004798,0,Neurons
13.376929,1.9683222,0,Pericytes
10.63681,3.4925146,1,Oligodendrocytes
9.621287,1.4398589,1,Neurons
5.5208373,6.2090473,6,Oligodendrocytes
4.246913,-8.790956,3,Endothelial
0.3540307,-4.3347554,2,Endothelial
10.683749,3.8783956,1,Neurons
17.227112,1.0197144,5,Neurons
2.8686836,2.4583917,4,Astrocytes
12.451485,-3.1991744,0,OPCs
15.449342,-2.2581403,0,Neurons
-0.4076676,-5.9088745,2,Oligodendrocytes
16.412268,1.5468174,5,Neurons
0.030720701,-5.7801948,2,Oligodendrocytes
6.514117,1.1879157,1,Neurons
-1.106418,-1.9144744,2,OPCs
4.260558,-0.8915859,1,Endothelial
6.0546746,-4.0058475,3,Astrocytes
-1.680296,-2.9818969,2,Oligodendrocytes
-0.47219545,-4.218728,2,Oligodendrocytes
-0.06858349,-6.509428,2,Pericytes
8.658698,1.8210479,1,OPCs
-0.5339012,-2.0461996,2,Oligodendrocytes
7.3750663,2.2472057,1,Oligodendrocytes
10.934778,0.52429134,1,Microglia
8.406995,4.9972734,1,Neurons
11.002062,-4.7427044,0,Neurons
11.513159,5.4373894,1,Neurons
7.8716683,5.4488363,1,Oligodendrocytes
9.770214,3.6654863,1,Oligodendrocytes
11.57415,-4.674425,0,Neurons
7.004915,13.262686,8,OPCs
8.668802,0.6118849,1,Neurons
10.414513,-0.9967614,0,Microglia
2.9912882,1.9962044,4,Astrocytes
0.27354342,-6.319928,2,Endothelial
8.770539,0.9224279,1,Microglia
-1.0253946,-2.4162185,2,Microglia
-0.04940313,-5.8488517,2,Endothelial
11.172766,-1.4290168,0,Neurons
-0.93421483,-6.050706,2,Microglia
5.7171144,6.6583433,6,Oligodendrocytes
11.119034,-6.472114,0,OPCs
0.60032094,-2.6219072,2,Oligodendrocytes
2.4163454,2.2704206,4,Astrocytes
-0.8733441,-5.1785994,2,Microglia
6.711874,2.3943448,1,Astrocytes
5.5565257,-4.961523,3,OPCs
5.013684,-0.42872483,1,Endothelial
4.726225,-7.3088107,3,Neurons
8.1722355,2.157263,1,OPCs
11.479083,-5.1177197,0,Neurons
7.887395,3.9987772,1,Oligodendrocytes
8.997017,-1.6978154,0,Pericytes
14.31319,-0.8157921,0,OPCs
11.718561,-5.70674,0,Pericytes
14.279599,2.7777884,0,Neurons
4.677662,-7.912589,3,Microglia
9.594373,-1.0711147,0,Neurons
12.233938,-1.810797,0,OPCs
5.352456,-7.8508434,3,Astrocytes
11.543635,-4.958525,0,Neurons
13.202941,6.0347595,1,Neurons
10.8238325,-6.025778,0,Microglia
13.583753,-2.9712787,0,Endothelial
-0.44911075,-6.7487984,2,Endothelial
5.120431,1.9725457,1,Astrocytes
13.837877,-3.4176779,0,Neurons
9.401612,3.6608515,1,Oligodendrocytes
10.095487,-4.8555703,0,Neurons
11.057513,-1.5939053,0,Neurons
7.414727,1.3167561,1,Endothelial
6.14962,-5.534112,3,OPCs
14.896687,0.35461196,0,Neurons
-0.2883969,-3.7944295,2,Oligodendrocytes
-1.6920725,-3.9042938,2,Oligodendrocytes
11.050852,-3.0924306,0,Neurons
9.960799,3.5674489,1,Astrocytes
8.684538,2.3567882,1,OPCs
-0.80841196,-3.849361,2,Oligodendrocytes
-1.3080748,-1.8976337,2,Neurons
8.783427,4.0437274,1,Oligodendrocytes
10.607117,0.9948764,1,Endothelial
0.33660793,-3.4327137,2,Oligodendrocytes
5.2120805,-7.5188627,3,Oligodendrocytes
6.870941,13.431293,8,OPCs
6.0355744,-4.6069307,3,Neurons
-0.38823745,-6.2800174,2,Endothelial
12.118245,-6.5776124,0,Oligodendrocytes
8.943996,3.492676,1,OPCs
10.849766,-0.9928449,0,Neurons
10.429491,2.8434522,1,Neurons
5.846763,-5.2718525,3,Oligodendrocytes
-1.2300088,-1.9515579,2,OPCs
-0.45772567,-4.106074,2,Microglia
7.2146645,1.4908596,1,Neurons
6.0911846,1.3158966,1,Astrocytes
0.22162539,-4.3209443,2,Oligodendrocytes
1.3545238,-3.3382123,2,Endothelial
6.737972,1.3623611,1,Astrocytes
12.788615,6.6574793,1,Microglia
13.698342,1.5032648,0,Neurons
8.450681,1.85013,1,Oligodendrocytes
13.458519,3.1256495,0,Neurons
